item_num,rep,ppt,word,f0,f1,f2,duration,ipa,arpa,onset,offset,environment,real_word,age,years_uni,sex,ethnicity,birthplace,home_state,years_lived_hi,L1,exposure_langs_yn,exposure_langs,age_learned_en,speak_other
17,3,P102,bid,81.08,353.0080956,1856.354665,370,ɪ,IH,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
3,2,P102,pad,78.45,653.1470472,1695.385415,430,æ,AE,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
5,3,P102,bod,78.19,604.4301013,1101.114465,400,ɑ,AA,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
19,2,P102,pid,79.58,434.7915009,1841.619289,290,ɪ,IH,voiceless,voiced,voiceless_voiced,notreal,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
3,3,P102,pad,83.06,692.9511272,1704.803669,470,æ,AE,voiceless,voiced,voiceless_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
10,2,P102,bet,NA,515.3287686,1676.362133,350,ɛ,EH,voiced,voiceless,voiced_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
32,3,P102,putt,82.62,584.2934101,1537.025475,380,ʌ,AH,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
29,3,P102,bud,79.77,580.5324969,1536.887564,320,ʌ,AH,voiced,voiced,voiced_voiced,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
33,3,P102,cot,77.8,642.3458973,1138.473033,450,ɑ,AA,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
4,3,P102,pat,75.38,726.4944089,1626.088994,430,æ,AE,voiceless,voiceless,voiceless_voiceless,real,20,2.5,Male,White,IL,WA,0to5y,English,yes,Spanish,0,Spanish
